,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Contribution To Growth In Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 14/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent
    Transportation & Storage,0.4,0.4,0.5,0.7,-1,0,0.1,0.4,0.2,0.2,0.1,0.2,0.3,0.4,0.5,-0.8,0.4,0.8,0.4,0.7,1.1,-0.1,0.5,-0.1,0.3,0.6,0.4,0.5,0.6,0.9,0.8,0.9,0.5,0.7,1,1,1.3,0.8,0.7,0.2,1.2,0.9,1,1.1,1.4,1.7,1.5,1.4,1.4,0.6,0.8,2,1.6,1.3,1.4,1.3,1.5,1,0.4,0.6,-0.7,0.2,0.1,0.7
    Accommodation & Food Services,0,0.1,0.1,0,-0.6,0,0.1,0,0.1,0,0.1,0.1,0.1,0.2,0.3,-0.1,0,0.1,0.1,0.2,0.2,-0.2,-0.1,0,0.2,0.1,-0.2,0.2,0.2,0.1,0.1,0.2,0.3,0,0.1,0.4,0.5,0.3,0.2,0,0.1,0.1,0.2,0.4,0.5,0.3,0.3,0.3,0.3,0.1,0.1,0.4,0.6,0.6,0.5,0.5,0.5,0.4,0.2,0.2,0,0.1,0.2,0.2
      Accommodation,0.1,0.1,0,0,-0.2,0,0.1,0,0,0,0,0,0,0.1,0.2,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Food & Beverage Services,0,0,0.1,0,-0.4,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Information & Communications,0.3,0.5,0.4,0.8,0.6,0.5,0.2,0.2,0.3,0,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.2,0.5,0.6,0.5,0.4,0.6,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.3,0.5,0.3,0.2,0.2,0.2,0.4,0.6,0.6,0.5,0.4,0.5,0.5,0.2,0.5,0.2,0.3,0.4,0.2,0.2,0.2,0.4,0.3,0.2,0.1,0,0.1,0.1,0
    Finance & Insurance,0.9,0.4,0.1,1.2,0.8,0.9,0.7,0.9,0.2,0.5,1,1.8,0.6,0.8,1.4,0.1,0.4,1.8,1.3,0.6,0.7,1.7,-0.4,1,-0.2,0,-2.4,1.6,1.6,-0.3,0.9,2.2,2,0.8,2.5,2,0.4,2.5,-0.1,1.6,1.7,1,-0.1,3,2.3,0.8,1.1,0.1,0.8,1.2,0.8,1,1.1,0.9,0.7,1.2,1,0.4,0.7,0.4,0.3,0.3,0.5,0.7
"    Real Estate, Professional Services And Administrative & Support Services",0.1,0.3,1.2,0.6,-1.6,-0.6,0.3,0.3,0.8,1.2,0.4,0.7,0.6,0.9,1.1,0.5,1,1.5,0.7,0.9,0.8,0.3,0.6,-0.1,0.5,0.1,0.4,1.1,0.9,0.4,1,0.5,0.9,0.7,0.5,1,1.2,0.8,-0.2,0.6,0,0.1,2,0.3,0.3,0.4,-0.1,0.1,-0.2,0,0,0.7,0.7,1.5,1.4,1.4,0.9,1.3,-0.2,1.3,0.8,0.9,1.4,0.6
      Real Estate,0,0.1,0.4,0.7,-0.4,0,0,-0.3,-0.1,0.1,-0.1,0.4,0.1,0.1,0.4,0.4,0.3,0.3,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Professional Services,0.1,0.2,0.6,0.3,-0.5,0.4,0.2,0.2,0.1,0.4,0,0,0.3,0.1,0.3,0.2,0.2,0.8,0.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Administrative & Support Services,0,0,0.2,-0.4,-0.6,-1,0.1,0.3,0.8,0.7,0.4,0.3,0.2,0.7,0.4,0,0.4,0.4,0.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Services Industries,0.3,0.4,0.4,0.5,-0.9,0.3,0.2,0.3,0.4,0.3,0.3,0.2,0.3,0.5,1.3,0.5,0.3,0.3,0.5,0.4,0.4,0.2,0.6,0.7,0.9,0.5,0.3,0.8,0.8,0.6,0.9,0.7,0.6,0.6,0.8,0.8,0.5,0.8,0.6,0.4,0.5,0.7,0.7,0.4,0.5,0.4,0.7,0.2,0.4,0.9,0.6,0.7,0.9,0.9,1.3,0.8,1.2,0.9,1.2,0.9,0.5,1.1,0.8,0.7
      Public Administration & Defence,0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0,0.1,0,0.1,0.2,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Education,0,0.1,0.1,0.1,-0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Health & Social Services,0.1,0.1,0.1,0.2,-0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0,0.1,0.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Arts, Entertainment & Recreation",0.1,0.1,0.2,0,-0.6,0.1,0,0.2,-0.1,-0.2,0.1,-0.1,0,0.3,0.9,0,0,0,0.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Services - Others,0,0.1,0.1,0,-0.2,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0.1,0.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Ownership Of Dwellings,0.2,0.1,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0.2,0.1,0.3,0.4,0.4,0.2,0.1,0.1,0.2,0.1,0,0.1,0,0.3,0.2,0.3,0.4,0.4,0.8,0.8,-0.1,0.6,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.4,0.2,0.4,0.3,0.4,0.2,0.3,0.2,0.1,0.2,0.3,0.3
  Add: Taxes On Products,0.2,0.1,-0.3,0.5,-0.8,0.1,-0.1,0.4,0.8,0.6,0,-0.2,0.2,-0.1,0.3,0.1,-0.9,0.8,0.4,0.2,0.6,0.3,0.1,-0.3,0.6,0.4,-0.5,0.5,0.3,0.4,0.4,0.7,0.4,0,0.4,0.8,0.4,0.5,0,0,0.2,0.3,0.3,0.2,0.4,0.5,0.2,0.3,0.1,0,-0.3,0.4,0.7,0.2,0.9,0.8,0,0,0.7,1.1,0.2,0,0.3,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP In Chained (2015) Dollars -> Goods Producing Industries -> Other Goods Industries (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other goods industries comprise agriculture, fishing and quarrying.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP In Chained (2015) Dollars -> Services Producing Industries -> Other Services Industries -> Other Services - Others (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comprise Activities of membership organisations, Repair of computers, personal, household goods & vehicles, Other personal services and Activities of households as employers of domestic personnel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aggregate value of the goods and services produced in the economic territory of Singapore. The GDP estimates are compiled based on the output (or production), expenditure and income approaches. See Output-based GDP, Expenditure-based GDP and Income-based GDP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes on Products:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refers to taxes payable per unit of good and services when they are produced, delivered, sold, transferred or otherwise disposed of by their producers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 04/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
