clean_sector,clean_region,year,quarter,frequency,raw_variable,value,source_file,date
Accommodation & Food Services,Singapore / Total,2012,1,quarterly,  Food & Beverage,561.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2012-03-31
Accommodation & Food Services,Singapore / Total,2012,2,quarterly,      Food & Beverage Services,92.8,gdp_deflators_by_industry_quarterly.csv,2012-06-30
Accommodation & Food Services,Singapore / Total,2012,2,quarterly,  Food & Beverage,1112.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2012-06-30
Accommodation & Food Services,Singapore / Total,2012,3,quarterly,      Food & Beverage Services,93.3,gdp_deflators_by_industry_quarterly.csv,2012-09-30
Accommodation & Food Services,Singapore / Total,2012,3,quarterly,  Food & Beverage,1671.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2012-09-30
Accommodation & Food Services,Singapore / Total,2012,4,quarterly,      Food & Beverage Services,0.1,gdp_contribution_to_growth_by_industry.csv,2012-12-31
Accommodation & Food Services,Singapore / Total,2012,4,quarterly,      Food & Beverage Services,4353.0,gdp_current_prices_by_industry.csv,2012-12-31
Accommodation & Food Services,Singapore / Total,2012,4,quarterly,      Food & Beverage Services,93.0,gdp_deflators_by_industry_annually.csv,2012-12-31
Accommodation & Food Services,Singapore / Total,2012,4,quarterly,      Food & Beverage Services,93.7,gdp_deflators_by_industry_quarterly.csv,2012-12-31
Accommodation & Food Services,Singapore / Total,2012,4,quarterly,  Food & Beverage,2246.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2012-12-31
Accommodation & Food Services,Singapore / Total,2013,1,quarterly,      Food & Beverage Services,94.2,gdp_deflators_by_industry_quarterly.csv,2013-03-31
Accommodation & Food Services,Singapore / Total,2013,1,quarterly,  Food & Beverage,582.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2013-03-31
Accommodation & Food Services,Singapore / Total,2013,2,quarterly,      Food & Beverage Services,94.7,gdp_deflators_by_industry_quarterly.csv,2013-06-30
Accommodation & Food Services,Singapore / Total,2013,2,quarterly,  Food & Beverage,1139.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2013-06-30
Accommodation & Food Services,Singapore / Total,2013,3,quarterly,      Food & Beverage Services,95.6,gdp_deflators_by_industry_quarterly.csv,2013-09-30
Accommodation & Food Services,Singapore / Total,2013,3,quarterly,  Food & Beverage,1740.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2013-09-30
Accommodation & Food Services,Singapore / Total,2013,4,quarterly,      Food & Beverage Services,0.1,gdp_contribution_to_growth_by_industry.csv,2013-12-31
Accommodation & Food Services,Singapore / Total,2013,4,quarterly,      Food & Beverage Services,4738.2,gdp_current_prices_by_industry.csv,2013-12-31
Accommodation & Food Services,Singapore / Total,2013,4,quarterly,      Food & Beverage Services,95.2,gdp_deflators_by_industry_annually.csv,2013-12-31
Accommodation & Food Services,Singapore / Total,2013,4,quarterly,      Food & Beverage Services,96.4,gdp_deflators_by_industry_quarterly.csv,2013-12-31
Accommodation & Food Services,Singapore / Total,2013,4,quarterly,  Food & Beverage,2294.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2013-12-31
Accommodation & Food Services,Singapore / Total,2014,1,quarterly,      Food & Beverage Services,96.9,gdp_deflators_by_industry_quarterly.csv,2014-03-31
Accommodation & Food Services,Singapore / Total,2014,1,quarterly,  Food & Beverage,576.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2014-03-31
Accommodation & Food Services,Singapore / Total,2014,2,quarterly,      Food & Beverage Services,97.6,gdp_deflators_by_industry_quarterly.csv,2014-06-30
Accommodation & Food Services,Singapore / Total,2014,2,quarterly,  Food & Beverage,1110.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2014-06-30
Accommodation & Food Services,Singapore / Total,2014,3,quarterly,      Food & Beverage Services,97.8,gdp_deflators_by_industry_quarterly.csv,2014-09-30
Accommodation & Food Services,Singapore / Total,2014,3,quarterly,  Food & Beverage,1705.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2014-09-30
Accommodation & Food Services,Singapore / Total,2014,4,quarterly,      Food & Beverage Services,0.0,gdp_contribution_to_growth_by_industry.csv,2014-12-31
Accommodation & Food Services,Singapore / Total,2014,4,quarterly,      Food & Beverage Services,5026.3,gdp_current_prices_by_industry.csv,2014-12-31
Accommodation & Food Services,Singapore / Total,2014,4,quarterly,      Food & Beverage Services,97.7,gdp_deflators_by_industry_annually.csv,2014-12-31
Accommodation & Food Services,Singapore / Total,2014,4,quarterly,      Food & Beverage Services,98.4,gdp_deflators_by_industry_quarterly.csv,2014-12-31
Accommodation & Food Services,Singapore / Total,2014,4,quarterly,  Food & Beverage,2263.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2014-12-31
Accommodation & Food Services,Singapore / Total,2015,1,quarterly,      Food & Beverage Services,99.1,gdp_deflators_by_industry_quarterly.csv,2015-03-31
Accommodation & Food Services,Singapore / Total,2015,1,quarterly,  Food & Beverage,532.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2015-03-31
Accommodation & Food Services,Singapore / Total,2015,2,quarterly,      Food & Beverage Services,99.8,gdp_deflators_by_industry_quarterly.csv,2015-06-30
Accommodation & Food Services,Singapore / Total,2015,2,quarterly,  Food & Beverage,1072.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2015-06-30
Accommodation & Food Services,Singapore / Total,2015,3,quarterly,      Food & Beverage Services,100.4,gdp_deflators_by_industry_quarterly.csv,2015-09-30
Accommodation & Food Services,Singapore / Total,2015,3,quarterly,  Food & Beverage,1723.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2015-09-30
Accommodation & Food Services,Singapore / Total,2015,4,quarterly,      Food & Beverage Services,0.0,gdp_contribution_to_growth_by_industry.csv,2015-12-31
Accommodation & Food Services,Singapore / Total,2015,4,quarterly,      Food & Beverage Services,5158.4,gdp_current_prices_by_industry.csv,2015-12-31
Accommodation & Food Services,Singapore / Total,2015,4,quarterly,      Food & Beverage Services,100.0,gdp_deflators_by_industry_annually.csv,2015-12-31
Accommodation & Food Services,Singapore / Total,2015,4,quarterly,      Food & Beverage Services,100.7,gdp_deflators_by_industry_quarterly.csv,2015-12-31
Accommodation & Food Services,Singapore / Total,2015,4,quarterly,  Food & Beverage,2319.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2015-12-31
Accommodation & Food Services,Singapore / Total,2016,1,quarterly,      Food & Beverage Services,101.3,gdp_deflators_by_industry_quarterly.csv,2016-03-31
Accommodation & Food Services,Singapore / Total,2016,1,quarterly,  Food & Beverage,591.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2016-03-31
Accommodation & Food Services,Singapore / Total,2016,2,quarterly,      Food & Beverage Services,102.0,gdp_deflators_by_industry_quarterly.csv,2016-06-30
Accommodation & Food Services,Singapore / Total,2016,2,quarterly,  Food & Beverage,1377.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2016-06-30
Accommodation & Food Services,Singapore / Total,2016,3,quarterly,      Food & Beverage Services,102.3,gdp_deflators_by_industry_quarterly.csv,2016-09-30
Accommodation & Food Services,Singapore / Total,2016,3,quarterly,  Food & Beverage,2145.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2016-09-30
Accommodation & Food Services,Singapore / Total,2016,4,quarterly,      Food & Beverage Services,0.0,gdp_contribution_to_growth_by_industry.csv,2016-12-31
Accommodation & Food Services,Singapore / Total,2016,4,quarterly,      Food & Beverage Services,5427.0,gdp_current_prices_by_industry.csv,2016-12-31
Accommodation & Food Services,Singapore / Total,2016,4,quarterly,      Food & Beverage Services,102.0,gdp_deflators_by_industry_annually.csv,2016-12-31
Accommodation & Food Services,Singapore / Total,2016,4,quarterly,      Food & Beverage Services,102.6,gdp_deflators_by_industry_quarterly.csv,2016-12-31
Accommodation & Food Services,Singapore / Total,2016,4,quarterly,  Food & Beverage,2787.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2016-12-31
Accommodation & Food Services,Singapore / Total,2017,1,quarterly,      Food & Beverage Services,500.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2017-03-31
Accommodation & Food Services,Singapore / Total,2017,1,quarterly,      Food & Beverage Services,102.5,gdp_deflators_by_industry_quarterly.csv,2017-03-31
Accommodation & Food Services,Singapore / Total,2017,1,quarterly,  Food & Beverage,700.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2017-03-31
Accommodation & Food Services,Singapore / Total,2017,2,quarterly,      Food & Beverage Services,0.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2017-06-30
Accommodation & Food Services,Singapore / Total,2017,2,quarterly,      Food & Beverage Services,102.9,gdp_deflators_by_industry_quarterly.csv,2017-06-30
Accommodation & Food Services,Singapore / Total,2017,2,quarterly,  Food & Beverage,1405.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2017-06-30
Accommodation & Food Services,Singapore / Total,2017,3,quarterly,      Food & Beverage Services,100.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2017-09-30
Accommodation & Food Services,Singapore / Total,2017,3,quarterly,      Food & Beverage Services,103.1,gdp_deflators_by_industry_quarterly.csv,2017-09-30
Accommodation & Food Services,Singapore / Total,2017,3,quarterly,  Food & Beverage,2032.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2017-09-30
Accommodation & Food Services,Singapore / Total,2017,4,quarterly,      Food & Beverage Services,3800.0,DOS_Employment_Change_By_Sector_Annual.csv,2017-12-31
Accommodation & Food Services,Singapore / Total,2017,4,quarterly,      Food & Beverage Services,3300.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2017-12-31
Accommodation & Food Services,Singapore / Total,2017,4,quarterly,      Food & Beverage Services,0.0,gdp_contribution_to_growth_by_industry.csv,2017-12-31
Accommodation & Food Services,Singapore / Total,2017,4,quarterly,      Food & Beverage Services,5456.1,gdp_current_prices_by_industry.csv,2017-12-31
Accommodation & Food Services,Singapore / Total,2017,4,quarterly,      Food & Beverage Services,103.0,gdp_deflators_by_industry_annually.csv,2017-12-31
Accommodation & Food Services,Singapore / Total,2017,4,quarterly,      Food & Beverage Services,103.4,gdp_deflators_by_industry_quarterly.csv,2017-12-31
Accommodation & Food Services,Singapore / Total,2017,4,quarterly,  Food & Beverage,2649.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2017-12-31
Accommodation & Food Services,Singapore / Total,2018,1,quarterly,      Food & Beverage Services,-600.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2018-03-31
Accommodation & Food Services,Singapore / Total,2018,1,quarterly,      Food & Beverage Services,103.8,gdp_deflators_by_industry_quarterly.csv,2018-03-31
Accommodation & Food Services,Singapore / Total,2018,1,quarterly,  Food & Beverage,630.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2018-03-31
Accommodation & Food Services,Singapore / Total,2018,2,quarterly,      Food & Beverage Services,-800.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2018-06-30
Accommodation & Food Services,Singapore / Total,2018,2,quarterly,      Food & Beverage Services,104.3,gdp_deflators_by_industry_quarterly.csv,2018-06-30
Accommodation & Food Services,Singapore / Total,2018,2,quarterly,  Food & Beverage,1234.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2018-06-30
Accommodation & Food Services,Singapore / Total,2018,3,quarterly,      Food & Beverage Services,100.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2018-09-30
Accommodation & Food Services,Singapore / Total,2018,3,quarterly,      Food & Beverage Services,104.7,gdp_deflators_by_industry_quarterly.csv,2018-09-30
Accommodation & Food Services,Singapore / Total,2018,3,quarterly,  Food & Beverage,1946.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2018-09-30
Accommodation & Food Services,Singapore / Total,2018,4,quarterly,      Food & Beverage Services,2500.0,DOS_Employment_Change_By_Sector_Annual.csv,2018-12-31
Accommodation & Food Services,Singapore / Total,2018,4,quarterly,      Food & Beverage Services,3800.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2018-12-31
Accommodation & Food Services,Singapore / Total,2018,4,quarterly,      Food & Beverage Services,0.0,gdp_contribution_to_growth_by_industry.csv,2018-12-31
Accommodation & Food Services,Singapore / Total,2018,4,quarterly,      Food & Beverage Services,5571.4,gdp_current_prices_by_industry.csv,2018-12-31
Accommodation & Food Services,Singapore / Total,2018,4,quarterly,      Food & Beverage Services,104.4,gdp_deflators_by_industry_annually.csv,2018-12-31
Accommodation & Food Services,Singapore / Total,2018,4,quarterly,      Food & Beverage Services,104.9,gdp_deflators_by_industry_quarterly.csv,2018-12-31
Accommodation & Food Services,Singapore / Total,2018,4,quarterly,  Food & Beverage,2593.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2018-12-31
Accommodation & Food Services,Singapore / Total,2019,1,quarterly,      Food & Beverage Services,800.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2019-03-31
Accommodation & Food Services,Singapore / Total,2019,1,quarterly,      Food & Beverage Services,105.7,gdp_deflators_by_industry_quarterly.csv,2019-03-31
Accommodation & Food Services,Singapore / Total,2019,1,quarterly,  Food & Beverage,588.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2019-03-31
Accommodation & Food Services,Singapore / Total,2019,2,quarterly,      Food & Beverage Services,1000.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2019-06-30
Accommodation & Food Services,Singapore / Total,2019,2,quarterly,      Food & Beverage Services,106.3,gdp_deflators_by_industry_quarterly.csv,2019-06-30
Accommodation & Food Services,Singapore / Total,2019,2,quarterly,  Food & Beverage,1175.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2019-06-30
Accommodation & Food Services,Singapore / Total,2019,3,quarterly,      Food & Beverage Services,1200.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2019-09-30
Accommodation & Food Services,Singapore / Total,2019,3,quarterly,      Food & Beverage Services,106.8,gdp_deflators_by_industry_quarterly.csv,2019-09-30
Accommodation & Food Services,Singapore / Total,2019,3,quarterly,  Food & Beverage,1848.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2019-09-30
Accommodation & Food Services,Singapore / Total,2019,4,quarterly,      Food & Beverage Services,6600.0,DOS_Employment_Change_By_Sector_Annual.csv,2019-12-31
Accommodation & Food Services,Singapore / Total,2019,4,quarterly,      Food & Beverage Services,3600.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2019-12-31
Accommodation & Food Services,Singapore / Total,2019,4,quarterly,      Food & Beverage Services,0.0,gdp_contribution_to_growth_by_industry.csv,2019-12-31
Accommodation & Food Services,Singapore / Total,2019,4,quarterly,      Food & Beverage Services,5674.5,gdp_current_prices_by_industry.csv,2019-12-31
Accommodation & Food Services,Singapore / Total,2019,4,quarterly,      Food & Beverage Services,106.5,gdp_deflators_by_industry_annually.csv,2019-12-31
Accommodation & Food Services,Singapore / Total,2019,4,quarterly,      Food & Beverage Services,107.1,gdp_deflators_by_industry_quarterly.csv,2019-12-31
Accommodation & Food Services,Singapore / Total,2019,4,quarterly,  Food & Beverage,2497.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2019-12-31
Accommodation & Food Services,Singapore / Total,2020,1,quarterly,      Food & Beverage Services,-8100.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2020-03-31
Accommodation & Food Services,Singapore / Total,2020,1,quarterly,      Food & Beverage Services,108.1,gdp_deflators_by_industry_quarterly.csv,2020-03-31
Accommodation & Food Services,Singapore / Total,2020,1,quarterly,  Food & Beverage,376.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2020-03-31
Accommodation & Food Services,Singapore / Total,2020,2,quarterly,      Food & Beverage Services,-23400.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2020-06-30
Accommodation & Food Services,Singapore / Total,2020,2,quarterly,      Food & Beverage Services,109.2,gdp_deflators_by_industry_quarterly.csv,2020-06-30
Accommodation & Food Services,Singapore / Total,2020,2,quarterly,  Food & Beverage,390.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2020-06-30
Accommodation & Food Services,Singapore / Total,2020,3,quarterly,      Food & Beverage Services,5400.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2020-09-30
Accommodation & Food Services,Singapore / Total,2020,3,quarterly,      Food & Beverage Services,108.8,gdp_deflators_by_industry_quarterly.csv,2020-09-30
Accommodation & Food Services,Singapore / Total,2020,3,quarterly,  Food & Beverage,412.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2020-09-30
Accommodation & Food Services,Singapore / Total,2020,4,quarterly,      Food & Beverage Services,-15700.0,DOS_Employment_Change_By_Sector_Annual.csv,2020-12-31
Accommodation & Food Services,Singapore / Total,2020,4,quarterly,      Food & Beverage Services,10300.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2020-12-31
Accommodation & Food Services,Singapore / Total,2020,4,quarterly,      Food & Beverage Services,-0.4,gdp_contribution_to_growth_by_industry.csv,2020-12-31
Accommodation & Food Services,Singapore / Total,2020,4,quarterly,      Food & Beverage Services,3823.8,gdp_current_prices_by_industry.csv,2020-12-31
Accommodation & Food Services,Singapore / Total,2020,4,quarterly,      Food & Beverage Services,108.7,gdp_deflators_by_industry_annually.csv,2020-12-31
Accommodation & Food Services,Singapore / Total,2020,4,quarterly,      Food & Beverage Services,109.1,gdp_deflators_by_industry_quarterly.csv,2020-12-31
Accommodation & Food Services,Singapore / Total,2020,4,quarterly,  Food & Beverage,454.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2020-12-31
Accommodation & Food Services,Singapore / Total,2021,1,quarterly,      Food & Beverage Services,1500.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2021-03-31
Accommodation & Food Services,Singapore / Total,2021,1,quarterly,      Food & Beverage Services,109.3,gdp_deflators_by_industry_quarterly.csv,2021-03-31
Accommodation & Food Services,Singapore / Total,2021,1,quarterly,  Food & Beverage,48.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2021-03-31
Accommodation & Food Services,Singapore / Total,2021,2,quarterly,      Food & Beverage Services,-7000.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2021-06-30
Accommodation & Food Services,Singapore / Total,2021,2,quarterly,      Food & Beverage Services,109.6,gdp_deflators_by_industry_quarterly.csv,2021-06-30
Accommodation & Food Services,Singapore / Total,2021,2,quarterly,  Food & Beverage,93.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2021-06-30
Accommodation & Food Services,Singapore / Total,2021,3,quarterly,      Food & Beverage Services,-2200.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2021-09-30
Accommodation & Food Services,Singapore / Total,2021,3,quarterly,      Food & Beverage Services,109.9,gdp_deflators_by_industry_quarterly.csv,2021-09-30
Accommodation & Food Services,Singapore / Total,2021,3,quarterly,  Food & Beverage,129.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2021-09-30
Accommodation & Food Services,Singapore / Total,2021,4,quarterly,      Food & Beverage Services,-2700.0,DOS_Employment_Change_By_Sector_Annual.csv,2021-12-31
Accommodation & Food Services,Singapore / Total,2021,4,quarterly,      Food & Beverage Services,4900.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2021-12-31
Accommodation & Food Services,Singapore / Total,2021,4,quarterly,      Food & Beverage Services,0.0,gdp_contribution_to_growth_by_industry.csv,2021-12-31
Accommodation & Food Services,Singapore / Total,2021,4,quarterly,      Food & Beverage Services,3923.8,gdp_current_prices_by_industry.csv,2021-12-31
Accommodation & Food Services,Singapore / Total,2021,4,quarterly,      Food & Beverage Services,109.8,gdp_deflators_by_industry_annually.csv,2021-12-31
Accommodation & Food Services,Singapore / Total,2021,4,quarterly,      Food & Beverage Services,110.4,gdp_deflators_by_industry_quarterly.csv,2021-12-31
Accommodation & Food Services,Singapore / Total,2021,4,quarterly,  Food & Beverage,192.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2021-12-31
Accommodation & Food Services,Singapore / Total,2022,1,quarterly,      Food & Beverage Services,200.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2022-03-31
Accommodation & Food Services,Singapore / Total,2022,1,quarterly,      Food & Beverage Services,111.5,gdp_deflators_by_industry_quarterly.csv,2022-03-31
Accommodation & Food Services,Singapore / Total,2022,1,quarterly,  Food & Beverage,113.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2022-03-31
Accommodation & Food Services,Singapore / Total,2022,2,quarterly,      Food & Beverage Services,5500.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2022-06-30
Accommodation & Food Services,Singapore / Total,2022,2,quarterly,      Food & Beverage Services,113.8,gdp_deflators_by_industry_quarterly.csv,2022-06-30
Accommodation & Food Services,Singapore / Total,2022,2,quarterly,  Food & Beverage,367.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2022-06-30
Accommodation & Food Services,Singapore / Total,2022,3,quarterly,      Food & Beverage Services,4000.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2022-09-30
Accommodation & Food Services,Singapore / Total,2022,3,quarterly,      Food & Beverage Services,116.1,gdp_deflators_by_industry_quarterly.csv,2022-09-30
Accommodation & Food Services,Singapore / Total,2022,3,quarterly,  Food & Beverage,756.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2022-09-30
Accommodation & Food Services,Singapore / Total,2022,4,quarterly,      Food & Beverage Services,16700.0,DOS_Employment_Change_By_Sector_Annual.csv,2022-12-31
Accommodation & Food Services,Singapore / Total,2022,4,quarterly,      Food & Beverage Services,7100.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2022-12-31
Accommodation & Food Services,Singapore / Total,2022,4,quarterly,      Food & Beverage Services,0.1,gdp_contribution_to_growth_by_industry.csv,2022-12-31
Accommodation & Food Services,Singapore / Total,2022,4,quarterly,      Food & Beverage Services,4783.2,gdp_current_prices_by_industry.csv,2022-12-31
Accommodation & Food Services,Singapore / Total,2022,4,quarterly,      Food & Beverage Services,114.9,gdp_deflators_by_industry_annually.csv,2022-12-31
Accommodation & Food Services,Singapore / Total,2022,4,quarterly,      Food & Beverage Services,117.5,gdp_deflators_by_industry_quarterly.csv,2022-12-31
Accommodation & Food Services,Singapore / Total,2022,4,quarterly,  Food & Beverage,1282.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2022-12-31
Accommodation & Food Services,Singapore / Total,2023,1,quarterly,      Food & Beverage Services,3600.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2023-03-31
Accommodation & Food Services,Singapore / Total,2023,1,quarterly,      Food & Beverage Services,119.3,gdp_deflators_by_industry_quarterly.csv,2023-03-31
Accommodation & Food Services,Singapore / Total,2023,1,quarterly,  Food & Beverage,868.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2023-03-31
Accommodation & Food Services,Singapore / Total,2023,2,quarterly,      Food & Beverage Services,900.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2023-06-30
Accommodation & Food Services,Singapore / Total,2023,2,quarterly,      Food & Beverage Services,120.8,gdp_deflators_by_industry_quarterly.csv,2023-06-30
Accommodation & Food Services,Singapore / Total,2023,2,quarterly,  Food & Beverage,1858.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2023-06-30
Accommodation & Food Services,Singapore / Total,2023,3,quarterly,      Food & Beverage Services,-1400.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2023-09-30
Accommodation & Food Services,Singapore / Total,2023,3,quarterly,      Food & Beverage Services,121.5,gdp_deflators_by_industry_quarterly.csv,2023-09-30
Accommodation & Food Services,Singapore / Total,2023,3,quarterly,  Food & Beverage,3008.0,"Tourism Receipts By Major Components (Year-To-Date), Quarterly.csv",2023-09-30
Accommodation & Food Services,Singapore / Total,2023,4,quarterly,      Food & Beverage Services,3300.0,DOS_Employment_Change_By_Sector_Annual.csv,2023-12-31
Accommodation & Food Services,Singapore / Total,2023,4,quarterly,      Food & Beverage Services,100.0,DOS_Employment_Change_By_Sector_Quarterly.csv,2023-12-31
